0,0,0,0002697764;0,05546352,0,1131316,0,000319861;0,0991697,0,2270996,0,0003493495;0,1466117,0,3372882,0,0003621551;0,1971067,0,4446108,0,0003533023;0,2477327,0,5514402,0,000318738;0,2971289,0,6602842,0,0002652551;0,3523765,0,76895,0,0001970879;0,4055057,0,882605,0,0001036297;0,4632889,1,0;0,5897228,0,9712107,2,32126E-05;0,6057466,0,841336,0,0001487541;0,6441727,0,7249609,0,0002738303;0,6842793,0,6145739,0,0003820828;0,7256699,0,5094349,0,0004799702;0,769591,0,4090015,0,000565954;0,8144702,0,3114858,0,0006386638;0,8638574,0,2174251,0,0006950277;0,9252309,0,1037854,0,0007480236;0,9252309,0,1037854,0,0007480236;Fire
0,0,0,0002463048;0,04056669,0,1374391,0,0003052889;0,07893068,0,270902,0,0003452247;0,1178793,0,4013894,0,0003641102;0,1538489,0,5315457,0,0003421166;0,1847164,0,6644139,0,0002732929;0,214422,0,8020504,0,0001660266;0,2772003,0,9339734,4,278901E-05;0,4100269,1,0;0,4786207,0,8690934,0,0001791417;0,5271853,0,7407331,0,0003494416;0,5703835,0,6188592,0,0004975816;0,6165304,0,5048277,0,0006247322;0,6719714,0,4002587,0,0007308796;0,729733,0,2992428,0,0008109649;0,7922578,0,200951,0,0008602486;0,8748876,0,1051833,0,000880354;0,8748876,0,1051833,0,000880354;0,8748876,0,1051833,0,000880354;0,8748876,0,1051833,0,000880354;Fire
0,0,3,392654E-05;0,07705839,0,1335421,0,0001462913;0,14617,0,263606,0,0002451838;0,2124848,0,3890427,0,0003211785;0,271342,0,513651,0,0003388924;0,3273895,0,6377577,0,000313273;0,3824771,0,7626349,0,0002472392;0,4378401,0,8885236,0,0001245607;0,547046,0,9802941,0;0,6509398,0,881178,7,888986E-05;0,6965656,0,7513646,0,0001970614;0,7340002,0,624544,0,0003100067;0,7773926,0,5053806,0,0004185585;0,8267552,0,3923846,0,0005151467;0,8811973,0,283481,0,0005940779;0,9476646,0,1791707,0,000640239;1,0,06014782,0,0006342742;0,9579873,0,1177425,0,0006249075;0,9579873,0,1177425,0,0006249075;0,9579873,0,1177425,0,0006249075;Fire
0,0,0;0,07024168,0,09416754,0,0001090409;0,1321421,0,1837859,0,0002006378;0,1898672,0,2687208,0,0002786857;0,2436241,0,3506549,0,0003436381;0,2920644,0,4324799,0,0003846985;0,3385611,0,5137164,0,0004076844;0,3890197,0,5924631,0,00040955;0,469025,0,6401517,0,0004194787;0,5551438,0,6041204,0,0004331207;0,6257437,0,5446361,0,0004667431;0,6936709,0,4835563,0,0004825454;0,7577064,0,4194872,0,0004967008;0,8223723,0,3575253,0,0005127745;0,8811275,0,2894803,0,0005183609;0,9390437,0,2215674,0,0005264231;1,0,1073475,0,0005447747;1,0,1073475,0,0005447747;1,0,1073475,0,0005447747;1,0,1073475,0,0005447747;Fire
0,0,0;0,04686009,0,09846573,6,41501E-05;0,09399132,0,1934695,0,0001067792;0,1386359,0,2878274,0,0001222078;0,1820498,0,382482,0,0001139396;0,2271453,0,4774939,7,971469E-05;0,3086487,0,5448332,6,312548E-05;0,4139384,0,5472159,8,79353E-05;0,5005904,0,488474,0,0001400105;0,5655698,0,4096244,0,0002037927;0,6239236,0,3302479,0,0002717492;0,685245,0,2572437,0,000334022;0,7505704,0,1913205,0,0003897507;0,8176585,0,128985,0,0004348829;0,8841734,0,06518079,0,0004624167;0,9652073,0,01747733,0,0004684577;1,0,00520387,0,0004609107;1,0,00520387,0,0004609107;1,0,00520387,0,0004609107;1,0,00520387,0,0004609107;Fire
0,0,0;0,05193382,0,1105689,8,436415E-05;0,1067051,0,2141852,0,0001547689;0,1600505,0,3144366,0,0002001727;0,2192789,0,4090562,0,0002252007;0,2782858,0,5029738,0,0002245951;0,335409,0,5990645,0,0001986876;0,3949896,0,6965354,0,0001424014;0,4747964,0,7815204,5,073009E-05;0,5797445,0,73137,0,0001069079;0,626354,0,6269349,0,0002207591;0,6741787,0,5295607,0,0003204141;0,7291229,0,4411616,0,000402053;0,7838486,0,3563533,0,0004721849;0,8481221,0,2818344,0,0005294364;0,9089515,0,2047197,0,0005683324;1,0,120393,0,0005454363;1,0,120393,0,0005454363;1,0,120393,0,0005454363;1,0,120393,0,0005454363;Fire
0,0,0;0,04298663,0,1319629,7,052668E-05;0,08342956,0,2609187,0,0001161864;0,1231446,0,3876306,0,0001287389;0,1652433,0,5126672,0,0001138247;0,2124877,0,6361931,7,151889E-05;0,2944643,0,7417336,2,615971E-05;0,4220716,0,785041,2,880661E-05;0,5281987,0,7059484,0,0001128893;0,6020647,0,601219,0,0002098859;0,6680564,0,4954788,0,0002991585;0,7280107,0,3895394,0,0003803464;0,7893385,0,2881466,0,0004586269;0,8563792,0,1941186,0,0005339718;0,9242687,0,1016639,0,0005954059;1,0,01240699,0,000626972;0,9610171,0,05121868,0,0005842695;0,9610171,0,05121868,0,0005842695;0,9610171,0,05121868,0,0005842695;0,9610171,0,05121868,0,0005842695;Fire
0,0,1686869,5,258215E-05;0,0425452,0,293418,0,000106299;0,07648784,0,4168936,0,000137604;0,1074375,0,5393171,0,000146305;0,1425771,0,6603472,0,0001392065;0,1801883,0,781629,0,0001117266;0,2223433,0,9038277,6,377932E-05;0,3095714,1,0;0,4185583,0,9222324,6,447838E-05;0,4790561,0,8063117,0,000151154;0,5306126,0,6906479,0,000200019;0,5897807,0,5834837,0,0002666125;0,6521195,0,4827783,0,0003320342;0,7062758,0,379418,0,0003806129;0,7563144,0,2765836,0,0004263889;0,8151293,0,1822518,0,000476082;0,934795,0,0,0005876872;0,934795,0,0,0005876872;0,934795,0,0,0005876872;0,934795,0,0,0005876872;Fire
0,0,3,53842E-05;0,08075453,0,1262467,0,0001362876;0,141947,0,2517408,0,0001975358;0,1987145,0,3737469,0,000233053;0,2564636,0,4927391,0,0002416806;0,31637,0,6108314,0,0002177767;0,3824044,0,7286438,0,0001478344;0,4719039,0,8352602,4,74646E-05;0,6083192,0,8731877,0;0,7059631,0,7685774,0,0001011074;0,7687666,0,6487942,0,0002236046;0,8180045,0,5313072,0,0003367492;0,860689,0,4170979,0,0004300738;0,9005053,0,3058662,0,0005041887;0,9543624,0,2043695,0,000562393;1,0,09770631,0,0005923561;0,9826793,0,0196716,0,0006012266;0,9826793,0,0196716,0,0006012266;0,9826793,0,0196716,0,0006012266;0,9826793,0,0196716,0,0006012266;Fire
0,0,0;0,06299184,0,09409573,8,899652E-05;0,1093423,0,192054,0,0001460332;0,1550591,0,2876823,0,0001800278;0,201835,0,3812649,0,0002007402;0,2481042,0,4745634,0,0001996785;0,2967134,0,5671413,0,0001841092;0,3560813,0,6543525,0,0001440275;0,4476565,0,7075741,0,0001190287;0,5490811,0,6771578,0,0001771733;0,6309991,0,6143922,0,0002619085;0,6982805,0,5408391,0,0003516476;0,7588259,0,4658733,0,0004368938;0,813275,0,3895864,0,0005151539;0,8639847,0,3139549,0,0005893575;0,915082,0,2407595,0,0006539251;1,0,1296818,0,0007269927;1,0,1296818,0,0007269927;1,0,1296818,0,0007269927;1,0,1296818,0,0007269927;Fire
0,0,0,0001001277;0,03128901,0,1389118,0,0001800566;0,05437141,0,2719179,0,000231759;0,07276674,0,4014464,0,0002540958;0,09768528,0,5284474,0,0002599341;0,1268767,0,654785,0,0002405595;0,1572823,0,7835464,0,0001886796;0,1991339,0,9141098,0,0001021704;0,3051563,1,0;0,3924312,0,8837936,0,0001241618;0,4660393,0,7704031,0,0002433475;0,5199364,0,6536504,0,0003380354;0,5711933,0,5426285,0,0004245494;0,6285169,0,4406962,0,0005028145;0,6849344,0,3407302,0,0005592144;0,7402068,0,240224,0,0005910086;0,8615757,0,0230923,0,0006573673;0,8615757,0,0230923,0,0006573673;0,8615757,0,0230923,0,0006573673;0,8615757,0,0230923,0,0006573673;Fire
0,0,0;0,1076626,0,1089845,0,0001316511;0,1995274,0,2119834,0,0002470517;0,2797751,0,3111079,0,0003364833;0,3585879,0,4029776,0,0004098492;0,4335836,0,4933541,0,0004478298;0,5050775,0,5858055,0,0004472555;0,570898,0,686362,0,0003893796;0,6689208,0,7592755,0,0003246348;0,7591422,0,6746061,0,0004351834;0,7902846,0,5593703,0,0005590287;0,8266138,0,4552995,0,0006742152;0,8630928,0,3585112,0,0007785818;0,9082814,0,2712874,0,0008680542;0,9515525,0,1855544,0,0009356693;1,0,1036318,0,0009806793;0,9854245,0,007314616,0,0009974926;0,9722016,0,07675211,0,0009773149;0,9722016,0,07675211,0,0009773149;0,9722016,0,07675211,0,0009773149;Fire
0,0,2118835,0,0004154409;0,04570946,0,3411208,0,0004417252;0,08439751,0,4720856,0,000427393;0,1231663,0,6045151,0,0003689495;0,1672324,0,7386919,0,0002745434;0,2135167,0,8776734,0,0001380363;0,3012827,1,0;0,4463136,0,9633557,4,743022E-05;0,4816062,0,8164178,0,000240662;0,5316005,0,6852509,0,0004157771;0,5832793,0,5628149,0,0005706351;0,6353762,0,4462842,0,0007019791;0,685383,0,332258,0,000805491;0,7343222,0,2204241,0,0008880681;0,7877187,0,1113517,0,0009413842;0,8538254,0,009551328,0,0009724149;0,8737539,0,0,0009567942;0,8737539,0,0,0009567942;0,8737539,0,0,0009567942;0,8737539,0,0,0009567942;Fire
0,0,0;0,06586801,0,1188583,0,0001576811;0,1195028,0,2344658,0,0002830719;0,1637647,0,3475661,0,0003676717;0,2036995,0,4581013,0,0004192085;0,2417758,0,5669059,0,0004427464;0,2803228,0,674551,0,0004267074;0,3351643,0,7753955,0,0003815125;0,4486652,0,798487,0,0003530265;0,5399091,0,7282228,0,0004098544;0,6043885,0,6357787,0,0004690985;0,6589984,0,5394456,0,0005200432;0,715571,0,4460311,0,0005619029;0,7780491,0,3566146,0,0005872739;0,8362067,0,2637615,0,0005993873;0,8914776,0,1665586,0,0005895721;0,988884,0,1048897,0,0005575311;1,0,1503043,0,0005333422;1,0,1503043,0,0005333422;1,0,1503043,0,0005333422;Fire
0,0,0;0,04376778,0,1263368,7,673868E-05;0,08541833,0,2475347,0,0001442064;0,1212294,0,3652871,0,0001884965;0,1537878,0,4805964,0,0002072055;0,1878959,0,5939234,0,000205146;0,2247389,0,7062129,0,0001861798;0,2653795,0,8177509,0,0001407282;0,3369242,0,9133098,9,049718E-05;0,4580679,0,9332119,0,0001073646;0,5583814,0,8607582,0,000213743;0,638175,0,7755672,0,0003356213;0,7046025,0,6859666,0,0004443307;0,7626474,0,5954444,0,0005384978;0,8141263,0,505093,0,0006236857;0,8646491,0,4165295,0,0006926703;1,0,2798421,0,0007848327;1,0,2798421,0,0007848327;1,0,2798421,0,0007848327;1,0,2798421,0,0007848327;Fire
