0,08421634,0,941099,0,006000755;0,3318845,0,932456,0,009489426;0,5878227,0,9384442,0,01118718;0,84641,0,9562795,0,01081825;0,989216,0,7461116,0,01304619;0,742981,0,6675193,0,01381931;0,5308366,0,5200879,0,0137525;0,3245836,0,3696873,0,01203859;0,1304419,0,2172104,0,008524496;0,0,0210629,0,00351345;0,2349458,0,02493363,0,00851697;0,4851925,0,02247257,0,01146545;0,7412013,0,00381787,0,01273911;1,0,0,01238073;0,897035,0,2352043,0,01398763;0,6566501,0,3297759,0,01442145;0,4619799,0,4956799,0,01287806;0,2902638,0,6743709,0,009482451;0,123464,0,8379432,0,004268397;0,03961774,0,9417511,0;Time
0,007256372,0,8076445,0,005531644;0,2501946,0,7827744,0,008503176;0,4990689,0,781661,0,01025323;0,7512193,0,7722174,0,01018249;1,0,7477266,0,00813617;0,8389854,0,5524744,0,008457839;0,6102151,0,4485157,0,009975125;0,3926766,0,3270392,0,008324523;0,1861976,0,1966708,0,005411952;0,0,07356621,0;0,2402189,0,0,001914696;0,4801324,0,02576184,0,005316275;0,7324502,0,007022375,0,005923281;0,985034,0,006455856,0,004294462;0,8090633,0,1862025,0,006277356;0,6187276,0,3455595,0,008756031;0,4292541,0,5127763,0,008596082;0,2387854,0,673712,0,00670494;0,0379223,0,797659,0,002508618;0,05934658,0,8372169,0,001070383;Time
0,6354773,0,9830865,0;0,4410754,0,9889595,0,01366815;0,2789077,1,0,02832202;0,1487343,0,9890031,0,04356876;0,1149363,0,7625706,0,04332;0,2275308,0,6758138,0,02917956;0,353544,0,5233229,0,01831734;0,5077186,0,3661155,0,008846896;0,678643,0,201635,0,001503367;0,6539073,0,0,009077929;0,451505,0,1237222,0,01789903;0,2606814,0,1681534,0,03121943;0,1066014,0,2006386,0,04587694;0,0,2296363,0,06120107;0,05849004,0,396666,0,05072126;0,1536727,0,5271631,0,03805771;0,2843916,0,6575183,0,02582963;0,4585089,0,7784295,0,01454853;0,6667442,0,8915076,0,005265476;0,7365075,0,9502376,0,003956323;Time
0,4161852,1,0,007888333;0,2806821,0,9823771,0,0217487;0,1807802,0,954354,0,03594198;0,106127,0,8881058,0,04963002;0,08680262,0,7347576,0,04129561;0,128745,0,6313707,0,02910767;0,1835408,0,4873944,0,01873621;0,2602029,0,3343435,0,008916415;0,3829825,0,1815215,0;0,3774271,0,0,007098667;0,2236314,0,1001821,0,01839785;0,1067625,0,1272554,0,03241282;0,03203422,0,1418409,0,04668575;0,0,1745175,0,06046156;0,02977925,0,3614578,0,05423563;0,0650251,0,4982695,0,0435162;0,1336035,0,635744,0,03258793;0,2360269,0,7720398,0,02180785;0,3783769,0,9058038,0,01199692;0,5019423,0,9859064,0,007963285;Time
0,6848917,0,9146941,0;0,4781702,0,9037864,0,02014142;0,2825505,0,8954313,0,04045652;0,1195461,0,8855158,0,06116575;0,0,8859617,0,0820426;0,1398804,0,6506658,0,08777799;0,2401852,0,5776554,0,06750401;0,4156145,0,4286793,0,04969563;0,6338549,0,2701257,0,03350776;0,8881043,0,09231643,0,02093931;0,7124306,0,005665967,0,04053472;0,5119215,0,0,0607568;0,3499238,0,01466824,0,08148647;0,1845753,0,2288964,0,09555522;0,2836435,0,2795378,0,07509338;0,3673531,0,4158086,0,0566363;0,4712963,0,5855504,0,03936;0,6084443,0,7763669,0,0232355;0,8125917,1,0,009937462;0,8125917,1,0,009937462;Time
0,7574641,0,9127579,0,01363926;0,5051237,0,9262428,0,0349549;0,2854769,0,9568806,0,05688601;0,1340973,0,9702177,0,07963394;0,08690353,0,7389509,0,0958145;0,1857594,0,735135,0,07315695;0,3387638,0,6485638,0,05122624;0,5356138,0,5032835,0,0313427;0,7819349,0,3215308,0,0146667;0,8679398,0,0,01716626;0,5841247,0,1415998,0,0341396;0,3298519,0,1943759,0,05499192;0,1299737,0,2263308,0,07725152;0,0,1877535,0,09989079;0,08532795,0,3444691,0,07993802;0,2021061,0,5201903,0,06052301;0,3663981,0,701623,0,04154421;0,5899962,0,8499622,0,02218998;0,9777756,1,0;0,9777756,1,0;Time
0,6518074,0,9740756,3,114403E-05;0,4501288,0,9888242,0,02043891;0,2833253,1,0,04129483;0,1617766,0,9857153,0,0623288;0,1134881,0,8327828,0,08027423;0,2419065,0,7325139,0,06050541;0,3428586,0,6076745,0,04140668;0,4998214,0,4670649,0,02297352;0,6770673,0,2809623,0,006990562;0,8113526,0,3,956663E-05;0,5618368,0,06793865,0,01854558;0,3370043,0,1145035,0,0381438;0,1530516,0,1163275,0,05881893;0,0,1690725,0,07945038;0,1036975,0,3430717,0,06208808;0,2295711,0,5179233,0,04473243;0,3818078,0,6834043,0,0270673;0,5752377,0,8489981,0,01009047;0,7547903,0,9617465,0;0,7547903,0,9617465,0;Time
0,1,0,004515203;0,08285941,0,937331,0,01507779;0,1888782,0,9057212,0,02484674;0,3216874,0,8524644,0,03256373;0,4332678,0,6830448,0,03529695;0,2825263,0,5804898,0,0306992;0,1700817,0,4492487,0,02457036;0,08513841,0,3230709,0,01634143;0,04902289,0,1847802,0,006403262;0,1677469,0,0;0,200768,0,07163865,0,01244008;0,3199033,0,07557637,0,02158135;0,4918388,0,05848387,0,02672543;0,5005088,0,2463689,0,03365739;0,3184676,0,2598548,0,02949752;0,1791628,0,4139974,0,02777683;0,0718338,0,571569,0,02328951;0,01262162,0,7483692,0,01736681;0,02214881,0,9229844,0,008605598;0,04192105,0,9396762,0,005115444;Time
0,07700503,0,8755553,0,01152547;0,09338226,0,942624,0,02252142;0,1457727,1,0,03245016;0,1510438,0,815213,0,03535671;0,06671355,0,7368363,0,02749384;0,01627279,0,5989876,0,02082438;0,0,4409702,0,01434281;0,01669057,0,2816334,0,007068644;0,0702717,0,1172483,0;0,1141393,0,0,008252264;0,05752921,0,1318256,0,01806894;0,05622014,0,2025394,0,02956308;0,09201749,0,2453173,0,0404734;0,1463924,0,3554911,0,04857454;0,07933767,0,4612398,0,04091436;0,0345788,0,5794456,0,03277786;0,0191207,0,6963493,0,02344533;0,05197265,0,833136,0,01415067;0,09143955,0,8471981,0,01122769;0,09143955,0,8471981,0,01122769;Time
0,5839813,0,9849386,0;0,3808818,0,9872875,0,01303662;0,2096331,1,0,02726203;0,05974421,0,9699081,0,04190363;0,03100991,0,7626238,0,04793048;0,1354793,0,7030802,0,03322898;0,2467293,0,5666829,0,02130882;0,373114,0,4086134,0,01109935;0,4968836,0,2226388,0,003711956;0,5437225,0,0,004587243;0,3372597,0,02766978,0,01724552;0,1548181,0,07440063,0,03070713;0,01569009,0,1006858,0,04557364;0,0,3217316,0,04376244;0,08692802,0,4664484,0,03212481;0,1978309,0,624487,0,02160075;0,3390416,0,7845313,0,01214868;0,5061017,0,9464346,0,004818419;0,5623823,0,960636,0,002878251;0,5623823,0,960636,0,002878251;Time
