0,0,8018867,0,0006308953;0,1659917,0,7846612,0,0006203477;0,3362842,0,8095797,0,0005327162;0,5197799,0,8321041,0,0003826625;0,7252724,0,8731571,0,0001744625;0,9449947,0,825475,0;0,9745574,0,6276038,8,803856E-05;0,990796,0,43725,0,0001667379;1,0,2510495,0,0002198558;0,9952468,0,06678019,0,0002557652;0,8060262,0,0,0004299268;0,6207866,0,06780859,0,0005540383;0,4453573,0,1061418,0,0006437429;0,278092,0,1258042,0,0006868336;0,1147917,0,1210924,0,0006504151;0,01981284,0,2526976,0,0005981508;0,02172585,0,4196559,0,0005604778;0,03442362,0,5892764,0,000480171;0,03904042,0,7674879,0,0003170283;0,05159699,0,8840139,0,00011476;Earth
0,0,5466977,0,0008545887;0,1352731,0,5770041,0,0007808621;0,2653427,0,6279696,0,0006290645;0,4039207,0,682023,0,0004476331;0,5514783,0,7554474,0,0002392143;0,7149537,0,8434117,0;0,8129181,0,6896071,3,112845E-05;0,8891636,0,5328662,0,0001295871;0,9241794,0,3709148,0,0002520135;0,9689457,0,2210172,0,0003511047;1,0,07854702,0,0004656043;0,8577819,0,01450931,0,0007098879;0,7029986,0,02692594,0,0008341714;0,5575939,0,01816603,0,0009087889;0,4181106,0,0,0009488419;0,2952746,0,06392179,0,0009373297;0,2262957,0,1829218,0,0008721707;0,165516,0,3089172,0,0007536582;0,1083042,0,4433826,0,000587049;0,07377142,0,5337548,0,0004354792;Earth
0,0,9727057,0;0,2151614,0,884121,0,0003639373;0,4123785,0,8386138,0,0006686539;0,5914593,0,8653005,0,000891468;0,7632058,0,873829,0,001090372;0,9270533,0,8588963,0,00127367;0,9627334,0,6719235,0,001390925;0,9642026,0,4904837,0,001528158;0,9820095,0,3215741,0,001663764;1,0,1612061,0,001789303;0,9893196,0,0,001851324;0,851216,0,03887849,0,001684064;0,7042356,0,06558678,0,001488887;0,5447667,0,07641077,0,001272888;0,3724401,0,09435913,0,001037013;0,2016224,0,1788371,0,0007976547;0,2419803,0,3830656,0,0008041384;0,2415865,0,5965091,0,0007285059;0,2235425,0,8232785,0,0005832816;0,2267453,0,995387,0,0004570444;Earth
0,1421271,0,7554978,0,0001896229;0,3221231,0,7791736,0,0003756017;0,4986786,0,7923246,0,0005218305;0,6730434,0,8085449,0,0006191287;0,8491966,0,7838063,0,0006576894;0,9301376,0,6245437,0,0007305687;0,9643173,0,4534037,0,000832557;0,9830189,0,2858544,0,0009430043;1,0,1255761,0,001064512;0,8939973,0,0,001174164;0,7312816,0,008358327,0,001145613;0,5743906,0,04018167,0,001055957;0,4121436,0,05294581,0,0009338571;0,2439599,0,05233197,0,0007875989;0,09095314,0,1301681,0,0006169659;0,01471487,0,289615,0,0004616741;0,0,4736856,0,0003334652;0,01331246,0,6643859,0,0001905828;0,06958262,0,7690466,0;0,06958262,0,7690466,0;Earth
0,1056949,0,891292,0;0,3453769,0,907535,0,0001160656;0,5577208,0,9267849,0,0002469367;0,7571997,0,9687823,0,0003520382;0,9440004,0,9524133,0,0004681795;0,9795766,0,7560556,0,0006436568;0,9828748,0,563127,0,0007991215;0,9923068,0,3821656,0,0009288866;1,0,2067789,0,001032358;0,9378588,0,03761534,0,001118719;0,7533723,0,01650928,0,00112349;0,5731555,0,01776305,0,001099617;0,3914337,0,01623258,0,001068961;0,2091559,0,0,001015272;0,06826477,0,1182453,0,0009640608;0,02305111,0,3052225,0,0009539975;0,0,4972352,0,0009394329;0,004222614,0,6920815,0,0009301105;0,01093317,0,8704479,0,0008651806;0,01093317,0,8704479,0,0008651806;Earth
0,079143,0,7692059,0,001040373;0,2405629,0,837983,0,001081697;0,3921624,0,9221229,0,001067654;0,5485578,1,0,0009995505;0,7032229,0,9316449,0,0008647665;0,7190021,0,7515199,0,0009900682;0,7685325,0,5861047,0,001105546;0,846588,0,4362316,0,001174209;0,9247374,0,2867599,0,001201237;0,9513301,0,118346,0,001191446;0,8098062,0,0239536,0,001186875;0,6412321,0,01397692,0,001129166;0,471334,0,0,001004821;0,3099814,0,05369645,0,0008355236;0,2366351,0,2150344,0,0007541959;0,171307,0,3818598,0,0006226444;0,08637737,0,545197,0,000410462;0,01181032,0,7076403,5,778147E-05;0,0,7089669,0;0,0,7089669,0;Earth
0,0,7884365,0;0,2262377,0,8104565,0,0003136243;0,4224892,0,8641373,0,0005653718;0,6104829,0,9032111,0,000773285;0,7982575,0,9319068,0,0009043873;0,8610401,0,7494155,0,0008537914;0,8120095,0,5556169,0,0009253459;0,8527281,0,3725365,0,001058512;0,90024,0,1986693,0,001169708;0,9502158,0,02599776,0,001228718;0,7697311,0,0,001168195;0,5931081,0,02979553,0,001020159;0,4058053,0,04475516,0,0008263856;0,2021237,0,05852589,0,0006236781;0,194317,0,2682408,0,0006459891;0,174102,0,4757215,0,0005821006;0,1389581,0,6878016,0,0004378499;0,04225057,1,2,051877E-05;0,04225057,1,2,051877E-05;0,04225057,1,2,051877E-05;Earth
0,0,8581334,0,0001054283;0,18751,0,8903998,0,0002170545;0,3647103,0,9440249,0,0002869143;0,54175,1,0,0003084485;0,6762194,0,8704286,0,000297538;0,7286648,0,6900554,0,0003526466;0,760645,0,5094624,0,0004243553;0,7961556,0,3345953,0,0004903328;0,8335976,0,1638637,0,0005466969;0,7712355,0,006694085,0,0006539018;0,5965192,0,0,0006648026;0,4304517,0,0334572,0,0005963027;0,2596282,0,0287193,0,0004665939;0,0877101,0,06674486,0,0003194744;0,08898721,0,2537934,0,000370567;0,05559748,0,4351406,0,0003250974;0,03090103,0,6212542,0,0002353018;0,01643077,0,8151144,8,886247E-05;0,02694071,0,8988239,0;0,02694071,0,8988239,0;Earth
0,0,7554602,3,727738E-06;0,1962172,0,775036,0,0001823547;0,3625689,0,8547838,0,0002756139;0,5245351,0,9341384,0,0003357902;0,6956458,1,0,0003383888;0,7943635,0,8423745,0,000385904;0,7233893,0,6718957,0,0004267135;0,7404901,0,4931344,0,0005001549;0,7768213,0,3233958,0,0005596208;0,8207755,0,1585666,0,0005971593;0,7779508,0,0,0006758067;0,6332436,0,07631442,0,0006124798;0,4685885,0,1029195,0,0005077163;0,2951957,0,0955465,0,0003495609;0,1477745,0,2068238,0,0002751108;0,1445615,0,3928756,0,0002934673;0,1204671,0,5797706,0,0002439281;0,095124,0,7751131,0,0001054859;0,1156151,0,8802101,0;0,1156151,0,8802101,0;Earth
0,0,8300039,1,766541E-05;0,2061552,0,8953676,0,0002722021;0,3986857,0,9503888,0,0004862195;0,5842541,0,9916387,0,000660171;0,7750533,0,9950166,0,0007495117;0,832355,0,8100809,0,0008490691;0,8740762,0,6314571,0,0009853008;0,9014831,0,4554199,0,001084064;0,9304261,0,2839993,0,001161418;0,8719157,0,1209811,0,001218759;0,7017289,0,08814773,0,001128661;0,5294644,0,05363045,0,0009663688;0,3494104,0,0,0007812994;0,2103768,0,1275871,0,0006839056;0,2147914,0,3241425,0,0007023495;0,1783483,0,5128792,0,0005990476;0,1140313,0,6996083,0,0004026789;0,08284544,0,9071971,0,0001860904;0,05877282,1,0;0,05877282,1,0;Earth
