0,3433345,1,0;0,4030602,0,8930009,0,0001946503;0,4784413,0,8009333,0,001627511;0,5452292,0,7086834,0,004515366;0,5662696,0,6005854,0,009438912;0,4494013,0,5854613,0,008228695;0,3409075,0,6170323,0,005907539;0,2290285,0,652598,0,004505927;0,1150455,0,6948352,0,004152431;0,0,6349636,0,008628086;0,07955794,0,5439428,0,009322383;0,1587826,0,4557343,0,01075362;0,2260704,0,3648541,0,01374466;0,2871398,0,2770102,0,0180377;0,3408971,0,1956555,0,02392832;0,4387665,0,0,0441049;0,4387665,0,0,0441049;0,4387665,0,0,0441049;0,4387665,0,0,0441049;0,4387665,0,0,0441049;Lightning
0,2378122,1,0,00968099;0,3100128,0,9105371,0,005063357;0,386977,0,8223687,0,001564645;0,4673688,0,7379044,0,0003351577;0,5373027,0,6465802,0;0,4560264,0,5606555,0,003679824;0,3544609,0,6095079,0,003195228;0,2395905,0,6394717,0,004824658;0,1198183,0,6579964,0,007922276;0,0,6781427,0,01298477;0,05562466,0,5786549,0,01300089;0,151588,0,5085137,0,009474539;0,2290221,0,4210364,0,007744907;0,2873926,0,322659,0,007606698;0,3319973,0,2213193,0,009290548;0,3707789,0,123679,0,01269395;0,4288268,0,0,01938501;0,4288268,0,0,01938501;0,4288268,0,0,01938501;0,4288268,0,0,01938501;Lightning
0,5545217,1,0,0004732517;0,6797624,0,8781558,0;0,7696546,0,7546974,0,005931422;0,6198219,0,6834643,0,01943331;0,4801227,0,7237051,0,01352176;0,3224375,0,8015568,0,01447722;0,1701369,0,8993139,0,01980412;0,0,9622832,0,02827241;0,1525748,0,8702036,0,01962573;0,2644912,0,7327978,0,01532946;0,3409718,0,5789703,0,01613925;0,4065337,0,4274301,0,01968766;0,4629469,0,288622,0,0268768;0,5256919,0,1452583,0,0325122;0,5825912,0,0,03833066;0,5949308,0,04002269,0,03390547;0,5949308,0,04002269,0,03390547;0,5949308,0,04002269,0,03390547;0,5949308,0,04002269,0,03390547;0,5949308,0,04002269,0,03390547;Lightning
0,3898182,1,0,008715378;0,4882179,0,9047295,0,003897374;0,5932383,0,8149338,0,0009466451;0,6796306,0,7108145,0;0,6980432,0,5818332,0,002578254;0,557745,0,5687534,0,005397071;0,4181717,0,5555953,0,007915949;0,2771292,0,5607763,0,01111122;0,1363414,0,5802809,0,01595616;0,0,5703743,0,0248365;0,1305434,0,5208268,0,01842729;0,2283456,0,4244545,0,01476283;0,3140034,0,3201589,0,0137363;0,3798774,0,2108781,0,01596105;0,438641,0,1115578,0,02102911;0,4980804,0,0145391,0,02630468;0,6045209,0,0,02613573;0,6045209,0,0,02613573;0,6045209,0,0,02613573;0,6045209,0,0,02613573;Lightning
0,2241224,1,0,01504689;0,287011,0,915668,0,00880141;0,3486866,0,8245883,0,004315859;0,4106274,0,731119,0,001252109;0,4628645,0,6322716,0;0,5105711,0,5334445,0,0004905012;0,4509679,0,4403085,0,005185658;0,3347417,0,4451723,0,007405716;0,2219214,0,4725641,0,009741746;0,1100892,0,5075789,0,01400941;0,0,518122,0,02207657;0,08672985,0,4448389,0,01780841;0,1604627,0,359302,0,01555597;0,2195036,0,2673026,0,01591845;0,2683589,0,178436,0,01890664;0,3117118,0,09282673,0,02309799;0,369604,0,01584063,0,0268124;0,3966102,0,0,02698886;0,3966102,0,0,02698886;0,3966102,0,0,02698886;Lightning
0,248828,1,0,01068311;0,3054662,0,8899395,0,003211322;0,3448468,0,7630963,0;0,335928,0,6388854,0,005590355;0,2330062,0,7289075,0,01123509;0,1420994,0,8291066,0,01637973;0,05353472,0,9224098,0,0241751;0,0,9812995,0,03750802;0,07238027,0,871123,0,03242388;0,1289822,0,7569257,0,02623146;0,1856566,0,6409084,0,02047456;0,2423528,0,5218747,0,01578152;0,3001077,0,4006693,0,0128122;0,3619449,0,2819147,0,01220198;0,4241881,0,1752948,0,01556172;0,4442374,0,07090831,0,02319303;0,5168424,0,0,03040876;0,5168424,0,0,03040876;0,5168424,0,0,03040876;0,5168424,0,0,03040876;Lightning
0,1033146,1,0,01383281;0,1871796,0,9289351,0,008499476;0,2933226,0,8853176,0,004737937;0,3875021,0,8226356,0,002206674;0,473738,0,7517391,0,000714621;0,4716679,0,6434237,0;0,3646222,0,6794586,0,001613915;0,2543028,0,7105891,0,004228299;0,140156,0,7297078,0,00779313;0,02417977,0,7293106,0,01274809;0,0,6231014,0,01374705;0,08305852,0,5489373,0,009344986;0,1537925,0,4632549,0,006305966;0,216318,0,3719459,0,004247105;0,2660978,0,27424,0,003314337;0,3152757,0,1773584,0,003315465;0,3945912,0,0,004927876;0,3945912,0,0,004927876;0,3945912,0,0,004927876;0,3945912,0,0,004927876;Lightning
0,04506706,1,0,01314841;0,0966697,0,927062,0,008038345;0,1515969,0,8515429,0,004204909;0,2021577,0,7713354,0,001912426;0,2645582,0,6992356,0,0007604119;0,3155926,0,6196058,0;0,2967436,0,5285813,0,002228549;0,1986247,0,5419603,0,004464497;0,09935971,0,5519105,0,007396922;0,0,5409563,0,01168471;0,05145109,0,4615443,0,01059693;0,1062931,0,3843156,0,009609192;0,1589187,0,3062675,0,009100376;0,1979522,0,2212766,0,008936394;0,2366542,0,138701,0,01001382;0,2805751,0,0631062,0,01213847;0,3282564,0,0,01579461;0,2986474,0,06385921,0,01384992;0,2986474,0,06385921,0,01384992;0,2986474,0,06385921,0,01384992;Lightning
0,14822,1,0,01268952;0,2020672,0,9196083,0,008365432;0,2576464,0,8382945,0,004721005;0,3102356,0,7539476,0,0020064;0,3634969,0,6694413,6,462704E-06;0,3999466,0,5781707,0;0,3076161,0,5342976,0,005487374;0,2051176,0,5553918,0,009041322;0,1020676,0,5710014,0,01379599;0,0,5790195,0,01969563;0,007686309,0,4826563,0,02103233;0,0816972,0,4138285,0,01823344;0,1433945,0,3354402,0,0168892;0,1935709,0,2513001,0,01680464;0,2409382,0,1677976,0,01767926;0,2850656,0,08679842,0,01980657;0,3262545,0,01275738,0,02358968;0,3400847,0,0,02577407;0,3400847,0,0,02577407;0,3400847,0,0,02577407;Lightning
0,05446502,1,0,0127038;0,1247542,0,9247202,0,008448966;0,1942744,0,847383,0,004934902;0,2559856,0,7638224,0,00231075;0,3143432,0,6780142,0,000564371;0,3729863,0,5935617,0;0,4066642,0,5016966,0,00197728;0,3025385,0,4702107,0,005523552;0,2111689,0,5177507,0,005969499;0,1025243,0,5201053,0,009126558;0,0,4894875,0,01473187;0,05966576,0,4102239,0,01564755;0,1297488,0,3370172,0,01566761;0,1888517,0,2574681,0,0165984;0,2432454,0,1786683,0,01857098;0,2881572,0,1010814,0,02206472;0,3252442,0,03225487,0,02750132;0,3227865,0,0,0343253;0,3227865,0,0,0343253;0,3227865,0,0,0343253;Lightning
