0,00837821,0,9315931,0;0,0,7992178,0,0001031232;0,01338645,0,6770416,0,0001895385;0,02094763,0,5593215,0,0002572041;0,03549201,0,4443788,0,0002946697;0,05334042,0,3305829,0,0003147217;0,0952354,0,2211304,0,000311665;0,1666501,0,1193546,0,0002726017;0,2709665,0,03612175,0,0002048969;0,4049464,0,0,0001277413;0,5162965,0,06238366,0,0001040216;0,5382138,0,1886895,0,0001514659;0,498631,0,3149895,0,000226164;0,4301859,0,4250582,0,0003004368;0,3562,0,5237287,0,0003574399;0,2784755,0,6128232,0,0003935837;0,2039061,0,6992942,0,0004016653;0,1391687,0,7904764,0,000365517;0,07926851,0,8851288,0,0002771835;0,005894011,1,0,0001635459;Water
0,1164431,1,0;0,07453734,0,8538529,0,000136781;0,03694222,0,7204958,0,0002680779;0,02128853,0,5947087,0,0003967423;0,006755921,0,4770187,0,0005101638;0,0,3633129,0,000595599;0,01176254,0,2523313,0,000651973;0,03676094,0,1445065,0,000687243;0,09958138,0,04957394,0,0006832519;0,2029098,0,0,0006744001;0,3169176,0,01945288,0,0006518622;0,3901635,0,1076147,0,0006449908;0,4036981,0,2221687,0,0006617903;0,3844765,0,3353763,0,000676315;0,3466007,0,4425325,0,0006747831;0,2987913,0,5451232,0,0006548085;0,2407269,0,6426941,0,000611629;0,1666293,0,7299557,0,0005430568;0,0908727,0,8202941,0,0004423845;0,1110545,0,8839797,0,0004032962;Water
0,2094079,0,9916585,0;0,1215114,0,8832434,0,0001216757;0,05537338,0,770732,0,0002321979;0,01792039,0,6536086,0,0003349301;0,0,5381061,0,0004280072;0,001426284,0,4239753,0,0004955719;0,005456354,0,3101153,0,0005323885;0,02502168,0,1951576,0,0005310035;0,06524335,0,08215759,0,0005045573;0,1534465,0,0,0004807373;0,2700743,0,004661743,0,0004993601;0,346473,0,09529476,0,0005468889;0,3693127,0,2102568,0,0005620886;0,3537735,0,3261258,0,0005796165;0,3417134,0,440951,0,0005902484;0,3276239,0,5541006,0,0005731485;0,2969331,0,6626706,0,0005114165;0,2541928,0,7681396,0,0004135329;0,2346109,0,8855636,0,0002687689;0,21733,1,0,0001332874;Water
0,2302052,1,7,677818E-05;0,1584376,0,8694228,0,0001254603;0,09654064,0,7407152,0,0001679707;0,05102045,0,6107805,0,0002247876;0,02063257,0,4817963,0,0002703882;0,0,3538053,0,0002982961;0,003056102,0,2262154,0,0003221305;0,04343485,0,1120629,0,0003759517;0,1147708,0,02454857,0,0004564887;0,2189468,0,0,0005750025;0,3194508,0,0477954,0,0006918577;0,3899053,0,1358133,0,000762473;0,4219354,0,2413649,0,00078682;0,4219308,0,3491112,0,0007719332;0,3971,0,4526321,0,0007175843;0,3547689,0,5515689,0,0006285027;0,3020267,0,6503895,0,0005095535;0,2478469,0,7573575,0,000354964;0,1725291,0,9855641,0;0,1725291,0,9855641,0;Water
0,1569435,0,8372722,0,0003390904;0,1044907,0,7287522,0,0003847641;0,05417574,0,6221045,0,0004188574;0,02350502,0,5094044,0,0004237934;0,003996857,0,3944571,0,0004266974;0,0,2766223,0,0004044666;0,02559344,0,1598506,0,0003764483;0,09376965,0,05921457,0,0003375328;0,2001833,0,0,0003090554;0,3183745,0,01461714,0,0003299333;0,3973322,0,1025927,0,0004072375;0,4265274,0,2173472,0,000481421;0,4102764,0,3330822,0,000541037;0,3460647,0,4272515,0,000555085;0,2642047,0,5019348,0,0005208454;0,1979769,0,5907202,0,0004509956;0,1731106,0,7032158,0,0003659799;0,1696773,0,8231866,0,0002512244;0,1803127,1,0;0,1803127,1,0;Water
0,05225372,1,0,0001056511;0,07189637,0,8447412,0,0002880939;0,07565423,0,7030503,0,0004432664;0,0804547,0,5721673,0,0005756423;0,06275877,0,4485663,0,0006655609;0,02162401,0,3323871,0,0006862213;0,0,2103314,0,0006665212;0,02688748,0,08997503,0,0006725387;0,1112677,0,003998135,0,0007043859;0,2303679,0,0,0007518867;0,3264906,0,07224246,0,0007838041;0,375342,0,1816558,0,0007878306;0,3769915,0,3005779,0,0007659314;0,3408566,0,4135936,0,0007183561;0,2809522,0,5173741,0,0006456619;0,2069978,0,6153616,0,0005449461;0,1344902,0,7214134,0,0004044014;0,09395875,0,8542489,0,000200507;0,05376063,0,9951741,0;0,05376063,0,9951741,0;Water
0,1300895,0,9767991,0,0001275656;0,08667568,0,8367911,0,0002382661;0,04628941,0,7040466,0,0003121883;0,01384928,0,5739024,0,0003624089;0,001530034,0,4436182,0,0004093485;0,0,3140892,0,0004311017;0,02055369,0,1868771,0,0004447078;0,0684002,0,06794152,0,0004570966;0,1706245,0,0,0005196632;0,2873811,0,02558306,0,000635394;0,3580735,0,1266041,0,0007193892;0,3653489,0,2476713,0,000762544;0,3250864,0,3575267,0,0007329923;0,2499261,0,4453821,0,0006532277;0,1665287,0,5293696,0,0005417061;0,1093476,0,6404729,0,0004140355;0,1059167,0,7741908,0,0002889274;0,1221344,1,0;0,1221344,1,0;0,1221344,1,0;Water
0,2202303,1,0,0002222797;0,1492735,0,8805513,0,0002563723;0,09714402,0,7551425,0,0002789348;0,05379998,0,6285595,0,0002900241;0,0238985,0,4990532,0,0003022838;0,0,368464,0,0002956349;0,0002323581,0,2345253,0,0002774577;0,03405004,0,1041334,0,000265016;0,1202732,0,003139313,0,0002766463;0,2472318,0,0,000358366;0,3339579,0,09324276,0,0004805319;0,3638465,0,2161039,0,0005719526;0,3647412,0,3390615,0,0006072715;0,3058799,0,44304,0,0005716247;0,2315104,0,5375823,0,0005050719;0,1828921,0,6528931,0,0004255533;0,159256,0,7820762,0,0003178788;0,1708686,0,9174858,0,0001193232;0,1906247,0,9733701,0;0,1906247,0,9733701,0;Water
0,2744844,0,8314525,0,0004098509;0,2130243,0,7356021,0,0004347916;0,1482653,0,6450359,0,0004205153;0,1014365,0,5433849,0,0003993007;0,05714607,0,4393657,0,0003663593;0,01783078,0,3312234,0,0003126122;0,0,2143679,0,0002542797;0,02912949,0,0986656,0,0002295615;0,1077957,0,01185455,0,0002399612;0,2205989,0,0,0003014689;0,3140526,0,0649417,0,0003876037;0,361758,0,1685801,0,0004607163;0,3655268,0,2808095,0,0004952685;0,3386796,0,3877842,0,0004979685;0,3151253,0,4949472,0,0004762413;0,2971067,0,6037927,0,0004190574;0,2992195,0,717097,0,000327375;0,3498257,1,0;0,3498257,1,0;0,3498257,1,0;Water
0,2387746,1,1,827632E-05;0,1966037,0,8652561,0,0001016735;0,142515,0,741629,0,0001597167;0,07980011,0,6266279,0,000174102;0,03175562,0,5056614,0,0001777659;0,0,3792039,0,0001616286;0,003442958,0,2496139,0,0001770273;0,04539829,0,1298101,0,0002115611;0,1312954,0,04144159,0,0002660719;0,2454544,0,0,000325;0,3611023,0,02937427,0,000407643;0,4270692,0,1311178,0,0004960931;0,4487088,0,2498699,0,0005441808;0,4222547,0,3654992,0,0005418758;0,374038,0,4725206,0,0005047335;0,3186998,0,5754448,0,0004208711;0,2967669,0,6938518,0,0002908048;0,310797,0,9319201,0;0,310797,0,9319201,0;0,310797,0,9319201,0;Water
0,08376168,0,9073765,0,0003179751;0,051088,0,7731178,0,000342777;0,02731345,0,6387423,0,0003592205;0,004962002,0,5046976,0,0003464509;0,0,3678389,0,0003278854;0,01123465,0,230465,0,000315343;0,0508184,0,09855949,0,0003119606;0,1434151,0,005089004,0,0003600318;0,2664998,0,0,0004819934;0,3604922,0,08548559,0,0006177314;0,372897,0,2147286,0,0006912537;0,3171751,0,3265683,0,0006986504;0,2341508,0,4154944,0,0006496126;0,1643109,0,5176376,0,0005861432;0,1220858,0,6375932,0,0005125221;0,1016897,0,7660688,0,0003965324;0,01289443,1,0;0,01289443,1,0;0,01289443,1,0;0,01289443,1,0;Water
0,2038671,0,8970022,0,0002585466;0,1691809,0,7793155,0,0003250793;0,116921,0,6736163,0,0003434674;0,0695388,0,5670048,0,000340107;0,0339246,0,455872,0,0003158572;0,00389134,0,3416719,0,0002709034;0,0,22151,0,0002381468;0,02799212,0,1036886,0,0002220786;0,1115445,0,02485977,0,0002911666;0,2188184,0,0,0003970128;0,3147028,0,05608127,0,0005153969;0,3708964,0,1523841,0,0005958584;0,4028762,0,2570027,0,0006384014;0,3883079,0,3634394,0,0006170234;0,3495096,0,463608,0,0005642515;0,3010263,0,5611619,0,0004813814;0,2654008,0,6684504,0,000377276;0,2563332,0,7873307,0,0002576397;0,2562074,1,0;0,2562074,1,0;Water
0,06973269,0,7746325,0,0005048433;0,1100541,0,665284,0,0006389454;0,07606469,0,5547012,0,0006773702;0,03280734,0,4493686,0,00067137;0,002220382,0,3395928,0,0006483602;0,0,2250589,0,0006514924;0,04102715,0,1206334,0,0006923873;0,118492,0,04169035,0,0007363814;0,2210686,0,0,0007660436;0,330815,0,009501434,0,0007976664;0,4191917,0,07588036,0,0008220123;0,4604938,0,1786808,0,0008101264;0,4583417,0,2886108,0,0007715968;0,4272043,0,3938522,0,000714089;0,3744926,0,4900758,0,0006336982;0,3076929,0,5783986,0,0005333063;0,2496574,0,6771232,0,0004133313;0,2178128,0,793304,0,0002655098;0,1890166,1,0;0,1890166,1,0;Water
0,0,8663606,9,216832E-05;0,06303119,0,750757,0,0002450102;0,1207907,0,643778,0,000384005;0,1384486,0,5287396,0,0004697863;0,1127844,0,4180151,0,0004610997;0,07591955,0,3098901,0,0004134012;0,07265291,0,1933969,0,0003869833;0,1049369,0,08169229,0,0003895728;0,1849678,0,0,0004152625;0,2952369,0,008008383,0,0004999946;0,3666725,0,09336779,0,0005913086;0,4023082,0,1972331,0,0006511626;0,4046299,0,3055326,0,0006682461;0,3782814,0,4095521,0,0006394741;0,3263415,0,5032879,0,0005669705;0,2541462,0,5844926,0,0004594964;0,2018768,0,6885287,0,0003509509;0,1648989,0,8068449,0,0002230352;0,1082102,1,0;0,1082102,1,0;Water
0,05323888,0,9905469,0,0001797249;0,1094954,0,8537739,0,0003098017;0,1212829,0,7160143,0,0004197282;0,1059202,0,5860744,0,0004783144;0,07815374,0,4623479,0,0004938659;0,05107507,0,339454,0,0004778838;0,06113468,0,2128282,0,0004414627;0,1060172,0,09175222,0,0004185005;0,2049625,0,009622691,0,000421168;0,3283666,0,0,0004714781;0,4268499,0,07017012,0,0005494992;0,453847,0,1900249,0,0006107484;0,4226862,0,3079259,0,0006422439;0,3512552,0,4046679,0,0006329805;0,2638505,0,486777,0,0005912127;0,1940142,0,5881013,0,0005273459;0,1418273,0,7055083,0,000437877;0,08914104,0,8267245,0,000264693;0,1,0;0,1,0;Water
0,147751,0,7333868,0,0003136878;0,1143948,0,6230092,0,0003266631;0,07275885,0,5157335,0,0003097925;0,02451067,0,4090317,0,0002497553;0,0,2906029,0,0001658334;0,01513331,0,1662833,9,970285E-05;0,07910889,0,06181838,0,000106612;0,1799586,0,0009651102,0,0001537108;0,2940583,0,0,0002377456;0,38148,0,07370302,0,0003623724;0,4222855,0,1812911,0,0004710361;0,4154279,0,2934294,0,0005193159;0,3830912,0,3974696,0,0005294323;0,3250934,0,4860377,0,0004857885;0,2472993,0,5575556,0,0004034152;0,1893703,0,652976,0,0003304668;0,1726671,0,7682374,0,0002506856;0,1299645,1,0;0,1299645,1,0;0,1299645,1,0;Water
0,0,7713518,0,0002510924;0,001227142,0,6548992,0,0003234182;0,01330055,0,5436072,0,0003865;0,05095126,0,4431897,0,0004600914;0,06341121,0,3370875,0,0004832771;0,05692073,0,2265476,0,000423563;0,05245243,0,1102518,0,0003204738;0,1013441,0,0,0002449435;0,215075,0,01250937,0,0002918373;0,2649875,0,1192987,0,0003942263;0,2993219,0,2263259,0,0004720523;0,2993745,0,3353786,0,0005145684;0,2780896,0,4399139,0,0005279122;0,2349524,0,5363504,0,0005033519;0,1789254,0,6268086,0,0004398394;0,1005933,0,7005187,0,0003235794;0,06165978,0,810706,0,000196186;0,03471579,1,0;0,03471579,1,0;0,03471579,1,0;Water
0,337124,0,8419524,0,0002680781;0,2425916,0,7568195,0,00030574;0,1636355,0,6630855,0,000286877;0,09203845,0,5640109,0,0002461874;0,0359275,0,453884,0,0001905086;0,0,3324262,0,0001353581;0,005593897,0,2028335,8,549897E-05;0,05341819,0,07954568,4,092405E-05;0,1567971,0,5,187832E-05;0,2788015,0,007952269,0,0001430814;0,363167,0,09542425,0,0002578372;0,3882994,0,2160405,0,0003517421;0,3614982,0,3359859,0,0004038627;0,3200454,0,4499533,0,0004259704;0,2943251,0,5680482,0,0004001212;0,2893129,0,6909332,0,0003433108;0,299261,0,8174954,0,0002383423;0,3010196,1,0;0,3010196,1,0;0,3010196,1,0;Water
